Date,Price,Open,High,Low,Vol.,Change %
22/08/2022,17490.7,17682.9,17690.05,17467.35,287.56B,-1.51%
19/08/2022,17758.45,17966.55,17992.2,17710.75,295.63B,-1.10%
18/08/2022,17956.5,17898.65,17968.45,17852.05,263.91B,0.07%
17/08/2022,17944.25,17868.15,17965.95,17833.35,262.77B,0.67%
16/08/2022,17825.25,17797.2,17839.1,17764.05,,0.72%
12/08/2022,17698.15,17659.65,17724.65,17597.85,303.87B,0.22%
11/08/2022,17659,17711.65,17719.3,17631.95,311.25B,0.71%
10/08/2022,17534.75,17566.1,17566.1,17442.8,312.72B,0.06%
8/08/2022,17525.1,17401.5,17548.8,17359.75,256.99B,0.73%
5/08/2022,17397.5,17423.65,17474.4,17348.75,355.31B,0.09%
4/08/2022,17382,17463.1,17490.7,17161.25,324.98B,-0.04%
3/08/2022,17388.15,17349.25,17407.5,17225.85,285.41B,0.25%
2/08/2022,17345.45,17310.15,17390.15,17215.85,333.64B,0.03%
1/08/2022,17340.05,17243.2,17356.25,17154.8,381.53B,1.06%
29/07/2022,17158.25,17079.5,17172.8,17018.15,436.06B,1.35%
28/07/2022,16929.6,16774.85,16947.65,16746.25,376.26B,1.73%
27/07/2022,16641.8,16475.35,16653.45,16438.75,185.21B,0.96%
26/07/2022,16483.85,16632.9,16636.1,16463.3,208.21B,-0.88%
25/07/2022,16631,16662.55,16706.05,16564.25,211.39B,-0.53%
22/07/2022,16719.45,16661.25,16752.25,16610.9,190.91B,0.69%
21/07/2022,16605.25,16523.55,16626.95,16483.9,243.63B,0.51%
20/07/2022,16520.85,16562.8,16588,16490.95,284.36B,1.10%
19/07/2022,16340.55,16187.05,16359.5,16187.05,222.63B,0.38%
18/07/2022,16278.5,16151.4,16287.95,16142.2,227.74B,1.43%
15/07/2022,16049.2,16010.8,16066.95,15927.3,205.77B,0.69%
14/07/2022,15938.65,16018.85,16070.85,15858.2,228.60B,-0.18%
13/07/2022,15966.65,16128.2,16140,15950.15,233.26B,-0.57%
