Date,Price,Open,High,Low,Vol.,Change %,Volume
3/03/2011,756.42,764,764.02,750.88,385.23K,-2.02%,385230
4/03/2011,765.73,762.5,772.45,762.33,396.98K,1.23%,396980
7/03/2011,759.42,760.5,769.33,756.52,277.86K,-0.82%,277860
8/03/2011,778.66,758.7,782.25,755.55,450.18K,2.53%,450180
9/03/2011,773.81,780.31,783.5,768.4,385.49K,-0.62%,385490
10/03/2011,771.86,773.5,774.25,765.67,169.15K,-0.25%,169150
11/03/2011,763.61,766.5,769.75,761.6,678.95K,-1.07%,678950
14/03/2011,774.81,762.5,777.48,758.27,335.31K,1.47%,335310
15/03/2011,757.42,759.95,764.75,752,450.64K,-2.24%,450640
16/03/2011,758.88,757.49,765.5,756,271.96K,0.19%,271960
17/03/2011,745.31,748.5,750.5,742.41,600.57K,-1.79%,600570
18/03/2011,735.39,746.23,748.94,733.85,660.34K,-1.33%,660340
21/03/2011,730.54,738.75,738.75,726.02,379.46K,-0.66%,379460
22/03/2011,735.85,734,739.49,731.62,435.82K,0.73%,435820
23/03/2011,748.4,733.25,749.75,732.45,361.75K,1.71%,361750
24/03/2011,751.23,749.71,753.5,745.5,450.67K,0.38%,450670
25/03/2011,790.5,758.25,795.5,758.25,878.68K,5.23%,878680
28/03/2011,784.89,785.98,789.48,777.52,383.63K,-0.71%,383630
29/03/2011,793.01,783.75,797.42,782.52,363.33K,1.03%,363330
30/03/2011,792.54,793.8,800.5,789,243.29K,-0.06%,243290
31/03/2011,809.19,795,815.04,791.5,601.04K,2.10%,601040
1/04/2011,804.55,806.25,813.5,802,267.44K,-0.57%,267440
4/04/2011,820.96,806.76,823.75,806.76,283.40K,2.04%,283400
5/04/2011,819.88,819.25,822.5,807.75,241.25K,-0.13%,241250
6/04/2011,817.65,819.5,824.41,813.36,269.86K,-0.27%,269860
7/04/2011,811.86,816,816,809.75,244.00K,-0.71%,244000
8/04/2011,806.74,811.25,815.92,801.91,261.35K,-0.63%,261350
11/04/2011,809.88,803.75,815.5,795.86,236.21K,0.39%,236210
13/04/2011,826.5,805.95,829.21,799.04,506.41K,2.05%,506410
15/04/2011,747.2,826.23,826.23,744.02,8.83M,-9.59%,8.83M
18/04/2011,726.3,727.38,742.01,722.95,3.71M,-2.80%,3.71M
19/04/2011,721.67,729.5,732.25,720,2.22M,-0.64%,2.22M
20/04/2011,726.38,730,732,723,1.61M,0.65%,1.61M
21/04/2011,727.31,730.5,734.51,725,1.50M,0.13%,1.50M
25/04/2011,735.54,729.6,741,727.25,1.36M,1.13%,1.36M
26/04/2011,734.61,734.98,737.5,730.25,1.25M,-0.13%,1.25M
27/04/2011,738.42,737.5,740.77,735.55,740.26K,0.52%,740260
28/04/2011,732.89,738.23,739.5,731.51,411.69K,-0.75%,411690
29/04/2011,726.49,730,732.25,722.5,569.96K,-0.87%,569960
2/05/2011,730.84,731.17,735.5,728.31,592.47K,0.60%,592470
3/05/2011,727.69,730.73,738.24,725,608.62K,-0.43%,608620
4/05/2011,716.88,726.25,726.25,710.5,704.10K,-1.49%,704100
5/05/2011,710.77,716.75,719.98,708.25,334.85K,-0.85%,334850
6/05/2011,721.73,716.85,725.92,712.12,359.43K,1.54%,359430
9/05/2011,725.92,728.7,729,717.76,263.53K,0.58%,263530
10/05/2011,720.1,727.25,731,718.77,356.80K,-0.80%,356800
11/05/2011,726.05,721.25,729.98,720.49,250.88K,0.83%,250880
12/05/2011,720.6,723.75,726.75,718.77,320.28K,-0.75%,320280
13/05/2011,720.01,723.17,727,717.85,289.39K,-0.08%,289390
16/05/2011,712.44,719.35,719.35,710.16,269.37K,-1.05%,269370
17/05/2011,710.99,712,719.02,708.5,252.67K,-0.20%,252670
18/05/2011,710.19,713.75,720.75,700.31,751.30K,-0.11%,751300
19/05/2011,711.59,712.5,714.12,709.05,332.70K,0.20%,332700
20/05/2011,712.64,711.5,715.5,708.33,364.99K,0.15%,364990
23/05/2011,708.92,711.5,713.7,706.73,290.04K,-0.52%,290040
24/05/2011,711.26,710,715.5,709,260.03K,0.33%,260030
25/05/2011,698.75,706.25,706.25,690.5,488.51K,-1.76%,488510
26/05/2011,694.83,699,699.25,689.25,260.09K,-0.56%,260090
27/05/2011,696.99,691.25,701.36,691.25,165.86K,0.31%,165860
30/05/2011,695.05,700,702,690.79,196.15K,-0.28%,196150
31/05/2011,697.96,695.75,704.69,695,322.96K,0.42%,322960
1/06/2011,703,698.5,706,696.25,559.04K,0.72%,559040
2/06/2011,700.69,696.23,705,694.15,283.90K,-0.33%,283900
3/06/2011,703.38,704.5,710,701.26,423.86K,0.38%,423860
6/06/2011,709.61,704.25,711.25,698.75,175.19K,0.89%,175190
7/06/2011,723.19,707,726.25,707,404.09K,1.91%,404090
8/06/2011,718.05,722.25,722.5,716.84,370.07K,-0.71%,370070
9/06/2011,715.38,718.84,719.75,713.27,179.14K,-0.37%,179140
10/06/2011,715.4,716.01,719.94,713.05,290.92K,0.00%,290920
13/06/2011,719.39,712.5,721.23,705.6,238.29K,0.56%,238290
14/06/2011,718.36,718.25,720.75,717,302.06K,-0.14%,302060
15/06/2011,708.48,715,715.5,706.54,448.17K,-1.38%,448170
16/06/2011,700.14,706,706.25,698.81,222.54K,-1.18%,222540
17/06/2011,691.1,702.2,702.2,683.06,500.55K,-1.29%,500550
20/06/2011,677.23,694.25,695.2,665.14,446.82K,-2.01%,446820
21/06/2011,681.61,679.25,688.48,673.5,327.20K,0.65%,327200
22/06/2011,687,688.52,695.12,685.09,336.72K,0.79%,336720
23/06/2011,693.54,687.5,696.75,684.05,425.85K,0.95%,425850
24/06/2011,715.52,698.5,719.25,698.5,414.52K,3.17%,414520
27/06/2011,716.96,708.25,728.5,706.25,398.15K,0.20%,398150
28/06/2011,715.96,717.75,719.19,711.25,218.69K,-0.14%,218690
29/06/2011,720.44,716.55,726.25,716.55,128.85K,0.63%,128850
30/06/2011,726.85,718.75,728.99,718.75,173.88K,0.89%,173880
1/07/2011,733.58,732.5,741.46,730,373.86K,0.93%,373860
4/07/2011,734.73,737.5,743.51,733.33,199.92K,0.16%,199920
5/07/2011,738.62,735.75,742.08,731.56,269.76K,0.53%,269760
6/07/2011,738.14,737,742.5,734,147.12K,-0.06%,147120
7/07/2011,748.79,738.75,749.75,736.25,231.38K,1.44%,231380
8/07/2011,744.48,750,755,741.41,219.60K,-0.58%,219600
11/07/2011,729.75,736.25,743.5,722.5,451.30K,-1.98%,451300
12/07/2011,698.56,712.5,712.5,687.34,2.69M,-4.27%,2.69M
13/07/2011,696.05,691.75,702,690.7,647.97K,-0.36%,647970
